"","id","wd","hour","load"
"207","SM20R-01-00000623",2,14,0.102411734693879
"208","SM20R-01-00000623",2,15,0.0870718750000008
"209","SM20R-01-00000623",2,16,0.0878419715447185
"210","SM20R-01-00000623",2,17,0.0887534722222125
"211","SM20R-01-00000623",2,18,0.131220734126987
"212","SM20R-01-00000623",2,19,0.169061274509799
"213","SM20R-01-00000623",2,20,0.14504150390625
"214","SM20R-01-00000623",2,21,0.106972167968753
"215","SM20R-01-00000623",2,22,0.0756416015624911
"216","SM20R-01-00000623",2,23,0.0542372549019581
"217","SM20R-01-00000623",3,0,0.046083333333331
"218","SM20R-01-00000623",3,1,0.0428655753968254
"219","SM20R-01-00000623",3,2,0.038153273809524
"220","SM20R-01-00000623",3,3,0.036161274509806
"221","SM20R-01-00000623",3,4,0.0362041015625002
"222","SM20R-01-00000623",3,5,0.0503735351562462
"223","SM20R-01-00000623",3,6,0.0605014648437512
"224","SM20R-01-00000623",3,7,0.090500984251972
"225","SM20R-01-00000623",3,8,0.0964861111111105
"226","SM20R-01-00000623",3,9,0.115771329365085
"227","SM20R-01-00000623",3,10,0.0924980079681329
"228","SM20R-01-00000623",3,11,0.0906802208835412
"229","SM20R-01-00000623",3,12,0.0938526785714333
"230","SM20R-01-00000623",3,13,0.0980223214285627
"231","SM20R-01-00000623",3,14,0.0882415674603175
"232","SM20R-01-00000623",3,15,0.0956984126984146
"233","SM20R-01-00000623",3,16,0.0880218253968249
"234","SM20R-01-00000623",3,17,0.0817624007936513
"235","SM20R-01-00000623",3,18,0.135776892430279
"236","SM20R-01-00000623",3,19,0.161110557768926
"237","SM20R-01-00000623",3,20,0.140286706349198
"238","SM20R-01-00000623",3,21,0.101177290836652
"239","SM20R-01-00000623",3,22,0.27743874501992
"240","SM20R-01-00000623",3,23,0.0584474206349209
"241","SM20R-01-00000623",4,0,0.0471924603174614
"242","SM20R-01-00000623",4,1,0.0420823412698367
"243","SM20R-01-00000623",4,2,0.039170866935484
"244","SM20R-01-00000623",4,3,0.0378608870967805
"245","SM20R-01-00000623",4,4,0.0407298387096808
"246","SM20R-01-00000623",4,5,0.0447246963562696
"247","SM20R-01-00000623",4,6,0.0581386088709676
"248","SM20R-01-00000623",4,7,0.0832938247011949
"249","SM20R-01-00000623",4,8,0.132576807228913
"250","SM20R-01-00000623",4,9,0.110845408163258
"251","SM20R-01-00000623",4,10,0.135622975708502
"252","SM20R-01-00000623",4,11,0.129502520161289
"253","SM20R-01-00000623",4,12,0.0967399193548437
"254","SM20R-01-00000623",4,13,0.105473286290322
"255","SM20R-01-00000623",4,14,0.115669534412955
"256","SM20R-01-00000623",4,15,0.136832831325309
"257","SM20R-01-00000623",4,16,0.077886408730159
"258","SM20R-01-00000623",4,17,0.0869196428571473
"259","SM20R-01-00000623",4,18,0.140045318725099
"260","SM20R-01-00000623",4,19,0.160018574297189
"261","SM20R-01-00000623",4,20,0.149088293650786
"262","SM20R-01-00000623",4,21,0.10744692460318
"263","SM20R-01-00000623",4,22,0.0743695219123425
"264","SM20R-01-00000623",4,23,0.0513039314516102
"265","SM20R-01-00000623",5,0,0.0442343749999971
"266","SM20R-01-00000623",5,1,0.0422847782258039
"267","SM20R-01-00000623",5,2,0.0391949404761837
"268","SM20R-01-00000623",5,3,0.0354751984126949
"269","SM20R-01-00000623",5,4,0.0345234999999944
"270","SM20R-01-00000623",5,5,0.0553229166666687
"271","SM20R-01-00000623",5,6,0.0576410000000054
"272","SM20R-01-00000623",5,7,0.0656604251012152
"273","SM20R-01-00000623",5,8,0.0796928137651751
"274","SM20R-01-00000623",5,9,0.0944834337349439
"275","SM20R-01-00000623",5,10,0.0911636904761916
"276","SM20R-01-00000623",5,11,0.091335629921263
"277","SM20R-01-00000623",5,12,0.0843166666666652
"278","SM20R-01-00000623",5,13,0.094837301587301
"279","SM20R-01-00000623",5,14,0.147335159362553
"280","SM20R-01-00000623",5,15,0.0789238281250062
"281","SM20R-01-00000623",5,16,0.0862141472868243
"282","SM20R-01-00000623",5,17,0.0802244208494117
"283","SM20R-01-00000623",5,18,0.129227713178293
"284","SM20R-01-00000623",5,19,0.149430288461543
"285","SM20R-01-00000623",5,20,0.128240865384618
"286","SM20R-01-00000623",5,21,0.0979451923076921
"287","SM20R-01-00000623",5,22,0.0653999999999923
